"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2015","2015",9.2923536737,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2015","2015",1.4649937101,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2015","2015",-0.4065695258,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2015","2015",0.4669589445,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2015","2015",4.7481158448,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2015","2015",4.3035084921,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2015","2015",1.4610027599,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2015","2015",3.3783485574,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2015","2015",3.4758439123,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2015","2015",2.1199300088,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2015","2015",2.8264593273,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2015","2015",2.35687143,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2015","2015",1.7710257438,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2015","2015",1.386864627,,
"KOR","Korea","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2015","2015",2.4421841489,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2015","2015",0.1259690736,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2015","2015",2.6830960394,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2015","2015",2.3746062511,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2015","2015",3.0844552959,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2015","2015",1.6692470809,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2015","2015",2.6235037894,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2015","2015",-3.5208388174,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2015","2015",1.7248609013,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2015","2015",6.7406005307,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2015","2015",-0.6038038087,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2015","2015",9.6503010062,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2015","2015",4.2292496367,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2015","2015",2.493878616,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2015","2015",13.0841143395,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2015","2015",7.1853434869,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2015","2015",4.4883680079,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2015","2015",3.5986992662,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2015","2015",3.0193822348,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2015","2015",2.5526119713,,
"DEU","Germany","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2015","2015",2.2892023304,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2015","2015",0.2092558222,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2015","2015",1.4495485205,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2015","2015",0.7597970848,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2015","2015",2.7682342774,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2015","2015",-1.8702589842,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2015","2015",2.6082368329,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2015","2015",2.836328771,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2015","2015",0.6742250861,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2015","2015",-1.1083337184,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2015","2015",1.6997532008,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2015","2015",6.645154391,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2015","2015",10.2991206176,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2015","2015",-3.430005588,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2015","2015",5.1757702759,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2015","2015",6.0829606908,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2015","2015",4.3165602409,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2015","2015",5.0087537498,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2015","2015",4.1092357677,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2015","2015",3.5285200744,,
"ESP","Spain","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2015","2015",3.3514305959,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2015","2015",4.7657401002,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2015","2015",1.8182292635,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2015","2015",2.7700401984,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2015","2015",2.5668856689,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2015","2015",2.038818818,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2015","2015",-0.2140770935,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2015","2015",4.8556118257,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2015","2015",4.2369610353,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2015","2015",0.7039880569,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2015","2015",-0.8028353542,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2015","2015",7.5851544336,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2015","2015",1.2427463779,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2015","2015",7.7915322947,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2015","2015",5.9975458947,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2015","2015",2.0366874909,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2015","2015",2.133623719,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2015","2015",4.9289798418,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2015","2015",4.0537383139,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2015","2015",3.6441323238,,
"NLD","Netherlands","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2015","2015",3.3829598735,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2016","2016",4.1465818363,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2016","2016",-0.4573360804,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2016","2016",2.9739529664,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2016","2016",0.0623877755,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2016","2016",3.7416085657,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2016","2016",8.27233272,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2016","2016",-6.2518277129,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2016","2016",0.3136081986,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2016","2016",6.4564640752,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2016","2016",-3.489155485,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2016","2016",0.5306477316,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2016","2016",-1.141298874,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2016","2016",7.4701067231,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2016","2016",9.8886588589,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2016","2016",2.5404890404,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2016","2016",2.2954697324,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2016","2016",3.6768674089,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2016","2016",2.2727722146,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2016","2016",1.2514925106,,
"PRT","Portugal","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2016","2016",0.58083359,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2012","2012",5.2849087758,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2012","2012",3.7893796017,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2012","2012",0.016842126,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2012","2012",3.6163155666,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2012","2012",-4.1876635649,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2012","2012",-2.8820762969,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2012","2012",9.0990940108,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2012","2012",5.5088435443,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2012","2012",12.7029317457,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2012","2012",9.9158331169,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q3","Q3-2021","PC","Percentage","0","Units","2012","2012",5.0027500741,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q4","Q4-2021","PC","Percentage","0","Units","2012","2012",8.0948068313,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q1","Q1-2022","PC","Percentage","0","Units","2012","2012",12.2272089485,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q2","Q2-2022","PC","Percentage","0","Units","2012","2012",9.7760260878,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q3","Q3-2022","PC","Percentage","0","Units","2012","2012",4.5770265759,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2022-Q4","Q4-2022","PC","Percentage","0","Units","2012","2012",2.5656214848,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q1","Q1-2023","PC","Percentage","0","Units","2012","2012",8.0654310365,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q2","Q2-2023","PC","Percentage","0","Units","2012","2012",1.9143494187,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q3","Q3-2023","PC","Percentage","0","Units","2012","2012",1.6520190194,,
"CAN","Canada","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2023-Q4","Q4-2023","PC","Percentage","0","Units","2012","2012",1.6235444019,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units","2009_10","2009-10",4.0109615956,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units","2009_10","2009-10",3.9930813952,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units","2009_10","2009-10",4.3534859847,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units","2009_10","2009-10",1.9927621386,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units","2009_10","2009-10",5.3748458699,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units","2009_10","2009-10",-1.7861940159,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units","2009_10","2009-10",1.5642012465,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2020-Q4","Q4-2020","PC","Percentage","0","Units","2009_10","2009-10",-2.0780527211,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q1","Q1-2021","PC","Percentage","0","Units","2009_10","2009-10",4.0343287806,,
"NZL","New Zealand","PGDP_ANNPCT","Gross domestic product, market prices, deflator, growth","Q","Quarterly","2021-Q2","Q2-2021","PC","Percentage","0","Units","2009_10","2009-10",5.9548933734,,
